vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,15615,145,115,34.0871
0,0,0,15616,145.306,116,34
0,0,0,15617,145,116,34.3909
0,0,0,15618,145.544,117,34
0,0,0,15619,145,117,34.6947
0,0,0,15620,145.782,118,34
0,0,0,15621,145,118,34.9985
0,0,0,15622,146,118.917,34
0,0,0,15623,146.02,119,34
0,0,0,15624,146,119,34.0252
0,0,0,15625,146.258,120,34
0,0,0,15626,146,120,34.329
0,0,0,15627,146.496,121,34
0,0,0,15628,146,121,34.6328
0.164101,0.0876539,0.121464,15629,146.733,122,34
0,0,0,15630,146,122,34.9366
0,0,0,15631,146.971,123,34
0,0,0,15632,147,123.121,34
0.0677443,0.0259868,0.0421594,15633,147.209,124,34
0,0,0,15634,147,124,34.2672
0,0,0,15635,147.447,125,34
0,0,0,15636,147,125,34.5709
0,0,0,15637,147.685,126,34
0,0,0,15638,147,126,34.8747
0,0,0,15639,147.923,127,34
0,0,0,15640,148,127.324,34
0,0,0,15641,148.161,128,34
0,0,0,15642,148,128,34.2053
0,0,0,15643,148.399,129,34
0,0,0,15644,148,129,34.5091
0,0,0,15645,148.637,130,34
0,0,0,15646,148,130,34.8129
0,0,0,15647,148.874,131,34
0,0,0,15648,149,131.528,34
0,0,0,15649,149.112,132,34
0,0,0,15650,149,132,34.1434
0,0,0,15651,149.35,133,34
0,0,0,15652,149,133,34.4472
0,0,0,15653,149.588,134,34
0,0,0,15654,149,134,34.751
0,0,0,15655,149.826,135,34
0,0,0,15656,150,135.732,34
0,0,0,15657,150.064,136,34
0,0,0,15658,150,136,34.0815
0,0,0,15659,150.302,137,34
0,0,0,15660,150,137,34.3853
0,0,0,15661,150.54,138,34
0,0,0,15662,150,138,34.6891
0,0,0,15663,150.778,139,34
0,0,0,15664,150,139,34.9929
0,0,0,15665,151,139.935,34
0,0,0,15666,151.015,140,34
0,0,0,15668,151.253,141,34
0,0,0,16070,144.047,114,35
0,0,0,16072,144.285,115,35
0,0,0,16073,144,115,35.3641
0,0,0,16074,144.523,116,35
0,0,0,16075,144,116,35.6679
0,0,0,16076,144.761,117,35
0,0,0,16077,144,117,35.9717
0,0,0,16078,144.999,118,35
