vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0.113145,0.150089,0.221592,3093,111.473,123,10
0.109617,0.227311,0.223488,3094,111.598,124,10
0.12359,0.280685,0.185329,3095,111.723,125,10
0.127516,0.300383,0.136882,3096,111.848,126,10
0.0874349,0.311715,0.101612,3097,111.972,127,10
0.0858975,0.311287,0.0963272,3098,112,127.222,10
0.0805622,0.309729,0.0791107,3099,112.097,128,10
0.0591613,0.289605,0.0766548,3100,112,128,10.5217
0.0845557,0.311793,0.059045,3101,112.222,129,10
0.165309,0.297683,0.0124487,3102,112.347,130,10
0.225806,0.272527,-0.049374,3103,112.472,131,10
0.241787,0.254178,-0.0892862,3104,112.597,132,10
0.300296,0.252279,-0.133143,3105,112.721,133,10
0.311352,0.230358,-0.186814,3106,112.846,134,10
0.329483,0.214363,-0.220682,3107,112.971,135,10
0.33631,0.207142,-0.225882,3108,113,135.232,10
0.359569,0.180719,-0.24255,3109,113.096,136,10
0.336809,0.147555,-0.253274,3110,113,136,10.5148
0.390893,0.161511,-0.278033,3111,113.221,137,10
0.432015,0.146881,-0.308795,3112,113.346,138,10
0.414477,0.12671,-0.327358,3113,113.47,139,10
0.36816,0.0989722,-0.322569,3114,113.595,140,10
0,0,0,3115,113.72,141,10
0,0,0,3116,113.845,142,10
0,0,0,3117,113.97,143,10
0,0,0,3118,114,143.242,10
0,0,0,3119,114.095,144,10
0,0,0,3120,114,144,10.5078
0,0,0,3121,114.219,145,10
0,0,0,3122,114.344,146,10
0,0,0,3123,114.469,147,10
0,0,0,3124,114.594,148,10
0,0,0,3125,114.719,149,10
0,0,0,3126,114.844,150,10
0,0,0,3127,114.968,151,10
0,0,0,3128,115,151.253,10
0,0,0,3129,115.093,152,10
0,0,0,3130,115,152,10.5008
0,0,0,3369,109.539,109,11
0,0,0,3370,109.664,110,11
0,0,0,3371,109.789,111,11
0,0,0,3372,109.914,112,11
0,0,0,3373,110,112.693,11
0,0,0,3374,110.038,113,11
0,0,0,3375,110,113,11.2058
0,0,0,3376,110.163,114,11
0,0,0,3377,110,114,11.876
0,0,0,3378,110.288,115,11
0,0,0,3379,110.413,116,11
0,0,0,3380,110.538,117,11
0,0,0,3381,110.663,118,11
0,0,0,3382,110.787,119,11
0.0229419,0.00627112,0.115273,3383,110.912,120,11
0.0380995,0.00808824,0.131621,3384,111,120.703,11
0.0444275,0.00861822,0.137649,3385,111.037,121,11
0.0404536,0.00462909,0.14783,3386,111,121,11.1989
0.0794527,0.0513847,0.199636,3387,111.162,122,11
0.042626,0.0120536,0.265976,3388,111,122,11.869
0.0810782,0.121393,0.261897,3389,111.287,123,11
0.0762586,0.16127,0.250365,3390,111.412,124,11
0.0615999,0.222301,0.214098,3391,111.536,125,11
0.0608272,0.263832,0.1637,3392,111.661,126,11
0.0396586,0.289498,0.113409,3393,111.786,127,11
0.0406253,0.269789,0.0740748,3394,111.911,128,11
0.0287485,0.268855,0.0471383,3395,112,128.714,11
0.0243923,0.26868,0.0358107,3396,112.036,129,11
0.0168257,0.250744,0.02028,3397,112,129,11.1919
0.0523884,0.234276,-0.0407493,3398,112.161,130,11
0.00471535,0.172891,-0.0801159,3399,112,130,11.8621
0.110626,0.217439,-0.081493,3400,112.285,131,11
0.183644,0.214473,-0.116919,3401,112.41,132,11
0.201812,0.208414,-0.146467,3402,112.535,133,11
0.233695,0.167115,-0.198754,3403,112.66,134,11
0.2707,0.131923,-0.220458,3404,112.785,135,11
0.316659,0.11373,-0.262937,3405,112.91,136,11
0.338723,0.102186,-0.292289,3406,113,136.724,11
0.347137,0.0976461,-0.302738,3407,113.034,137,11
0.345003,0.0826568,-0.303511,3408,113,137,11.1849
0.390735,0.0908785,-0.326271,3409,113.159,138,11
0.379748,0.0226398,-0.336507,3410,113,138,11.8551
0.386883,0.0943013,-0.332901,3411,113.284,139,11
0.300755,0.0464259,-0.325921,3412,113.409,140,11
0,0,0,3413,113.534,141,11
0,0,0,3414,113.659,142,11
0,0,0,3415,113.783,143,11
0,0,0,3416,113.908,144,11
0,0,0,3417,114,144.734,11
0,0,0,3418,114.033,145,11
0,0,0,3419,114,145,11.178
0,0,0,3420,114.158,146,11
0,0,0,3421,114,146,11.8482
0,0,0,3422,114.283,147,11
0,0,0,3423,114.408,148,11
0,0,0,3424,114.533,149,11
0,0,0,3425,114.657,150,11
0,0,0,3426,114.782,151,11
0,0,0,3427,114.907,152,11
0,0,0,3662,109.228,108,12
0,0,0,3663,109.353,109,12
0,0,0,3664,109.478,110,12
0,0,0,3665,109.602,111,12
0,0,0,3666,109.727,112,12
0,0,0,3667,109.852,113,12
0,0,0,3668,109.977,114,12
0,0,0,3669,110,114.185,12
0,0,0,3670,110.102,115,12
0,0,0,3671,110,115,12.5462
0,0,0,3672,110.227,116,12
0,0,0,3673,110.351,117,12
0,0,0,3674,110.476,118,12
0,0,0,3675,110.601,119,12
0.00214846,0.00241569,0.126029,3676,110.726,120,12
0.0251951,-0.0107138,0.195369,3677,110.851,121,12
0.0373644,0.00590489,0.275957,3678,110.976,122,12
0.0408342,0.0125431,0.280929,3679,111,122.195,12
0.0564843,0.0381187,0.301556,3680,111.1,123,12
0.0564843,-0.0179647,0.326611,3681,111,123,12.5392
0.0521114,0.0679024,0.283326,3682,111.225,124,12
0.0307478,0.132792,0.23524,3683,111.35,125,12
0.00163512,0.157776,0.184771,3684,111.475,126,12
0.00112662,0.172051,0.139527,3685,111.6,127,12
-0.000686735,0.186163,0.0627057,3686,111.725,128,12
-0.0127954,0.176937,-0.0433118,3687,111.849,129,12
-0.00294416,0.162464,-0.0856918,3688,111.974,130,12
0.00312683,0.158233,-0.091752,3689,112,130.206,12
0.0302618,0.141519,-0.113468,3690,112.099,131,12
0.0210287,0.116188,-0.114592,3691,112,131,12.5323
0.111413,0.138541,-0.123405,3692,112.224,132,12
0.167183,0.118572,-0.14413,3693,112.349,133,12
0.201244,0.0932767,-0.186014,3694,112.474,134,12
0.247946,0.0588807,-0.221733,3695,112.598,135,12
0.299264,0.0351422,-0.267875,3696,112.723,136,12
0.336725,0.0205898,-0.306341,3697,112.848,137,12
0.377875,0.0116605,-0.339035,3698,112.973,138,12
0.376433,0.0110918,-0.345969,3699,113,138.216,12
0.366422,0.00894961,-0.372735,3700,113.098,139,12
0.329591,-0.015374,-0.357221,3701,113,139,12.5253
0.181198,0.00855719,-0.262149,3702,113.223,140,12
0,0,0,3703,113.348,141,12
0,0,0,3704,113.472,142,12
0,0,0,3705,113.597,143,12
0,0,0,3706,113.722,144,12
0,0,0,3707,113.847,145,12
0,0,0,3708,113.972,146,12
0,0,0,3709,114,146.227,12
0,0,0,3710,114.097,147,12
0,0,0,3711,114,147,12.5183
0,0,0,3712,114.221,148,12
0,0,0,3713,114.346,149,12
0,0,0,3714,114.471,150,12
0,0,0,3715,114.596,151,12
0,0,0,3716,114.721,152,12
0,0,0,3954,109.042,108,13
0,0,0,3955,109,108,13.2233
0,0,0,3956,109.166,109,13
0,0,0,3957,109,109,13.8935
0,0,0,3958,109.291,110,13
0,0,0,3959,109.416,111,13
0,0,0,3960,109.541,112,13
0,0,0,3961,109.666,113,13
0,0,0,3962,109.791,114,13
0,0,0,3963,109.915,115,13
0,0,0,3964,110,115.677,13
0,0,0,3965,110.04,116,13
0,0,0,3966,110,116,13.2163
0,0,0,3967,110.165,117,13
0,0,0,3968,110,117,13.8865
0,0,0,3969,110.29,118,13
0,0,0,3970,110.415,119,13
0,0,0,3971,110.54,120,13
